order_id,order_datetime,city,dark_store_id,category,order_value_inr,promised_delivery_min,actual_delivery_min,delivery_partner_id,customer_rating
ORD105804,2026-06-08 13:28:00,Delhi,DEL-DS-03,Dairy & Breakfast,225.11,15,18.0,DP127,3.0
ORD105795,2026-06-13 09:08:00, gurugram ,GGN-DS-02,Meat & Seafood,203.73,15,11.6,DP121,5.0
ORD103822,2026-05-09 20:27:00,MUMBAI,MUM-DS-03,Fruits & Vegetables,395.05,10,13.7,DP109,5.0
ORD103838,2026-05-02 12:58:00,Bengaluru,BLR-DS-01,Beverages,242.05,20,26.4,DP223,5.0
ORD101671,2026-06-08 23:12:00,Noida,NOI-DS-02,Meat & Seafood,446.61,15,15.5,DP133,4.0
ORD102799,2026-06-05 13:56:00,Mumbai,MUM-DS-01,Baby Care,229.42,20,29.8,DP198,3.0
ORD101194,2026-05-22 17:15:00,MUMBAI,MUM-DS-03,Beverages,253.64,20,12.0,DP113,5.0
ORD101844,2026-05-02 22:14:00,Noida,NOI-DS-02,Beverages,54.36,15,13.8,DP157,5.0
ORD104851,2026-05-05 19:32:00,Pune,PUN-DS-01,Fruits & Vegetables,196.5,20,28.3,DP186,1.0
ORD103408,2026-05-01 19:02:00,Noida,NOI-DS-01,Fruits & Vegetables,166.02,15,23.6,DP149,5.0
ORD100968,2026-05-09 14:07:00,Gurugram,GGN-DS-02,Meat & Seafood,520.39,20,27.6,DP130,4.0
ORD102204,2026-05-08 09:51:00,Mumbai,MUM-DS-03,Personal Care,155.97,20,21.6,DP237,5.0
ORD100131,2026-05-23 18:27:00,Delhi,DEL-DS-02,Snacks,112.6,15,14.7,DP235,4.0
ORD104691,2026-05-13 12:40:00,Mumbai,MUM-DS-01,Fruits & Vegetables,221.81,15,17.4,DP195,1.0
ORD104162,2026-05-16 10:29:00,Chennai,CHN-DS-01,Beverages,174.31,20,14.3,DP177,5.0
ORD105456,2026-06-01 10:27:00,Chennai,CHN-DS-01,Meat & Seafood,219.16,15,18.3,DP165,5.0
ORD102835,2026-05-23 20:55:00,Gurugram,GGN-DS-02,Frozen Food,395.32,15,23.9,DP180,4.0
ORD101109,2026-05-28 09:58:00,Mumbai,MUM-DS-03,Beverages,264.37,15,23.1,DP142,5.0
ORD100599,2026-06-06 11:03:00,Noida,NOI-DS-01,Snacks,300.36,15,15.4,DP146,5.0
ORD101357,2026-05-22 21:50:00,Chennai,CHN-DS-01,Fruits & Vegetables,124.38,15,21.3,DP128,5.0
ORD104666,2026-05-17 07:20:00,Mumbai,MUM-DS-01,Dairy & Breakfast,288.37,10,9.0,DP136,5.0
ORD102295,2026-05-31 14:00:00,Delhi,DEL-DS-01,Fruits & Vegetables,82.3,20,22.2,DP211,5.0
ORD105107,2026-05-23 22:58:00,Bengaluru,BLR-DS-02,Meat & Seafood,237.1,15,18.5,DP150,5.0
ORD100379,2026-05-09 20:58:00,Bengaluru,BLR-DS-01,Fruits & Vegetables,233.35,15,19.7,DP132,5.0
ORD104693,2026-05-11 13:53:00,Gurugram,GGN-DS-02,Fruits & Vegetables,177.36,15,23.7,DP202,4.0
ORD105044,2026-05-22 17:59:00,Hyderabad,HYD-DS-02,Snacks,187.74,10,-1.0,DP225,5.0
ORD102209,2026-05-03 12:12:00, noida ,NOI-DS-01,Beverages,159.0,15,18.2,DP133,2.0
ORD105981,2026-05-23 13:05:00,Mumbai,MUM-DS-02,Personal Care,237.59,15,17.9,DP171,5.0
ORD101647,2026-05-02 22:38:00,Delhi,DEL-DS-03,Frozen Food,426.19,15,11.1,DP144,5.0
ORD104506,2026-06-08 23:23:00,Noida,NOI-DS-01,Meat & Seafood,453.64,15,16.8,DP188,5.0
ORD102814,2026-06-07 16:04:00,Hyderabad,HYD-DS-02,Frozen Food,145.86,20,11.6,DP201,5.0
ORD102549,2026-05-05 10:34:00,Hyderabad,HYD-DS-01,Baby Care,166.2,15,14.0,DP171,4.0
ORD103663,2026-06-01 11:54:00,Mumbai,MUM-DS-03,Meat & Seafood,145.58,15,17.0,DP169,4.0
ORD104209,2026-06-13 12:31:00,GURUGRAM,GGN-DS-02,Meat & Seafood,256.63,15,18.9,DP153,5.0
ORD101736,2026-05-25 07:42:00,Noida,NOI-DS-02,Dairy & Breakfast,176.63,15,13.6,DP157,5.0
ORD104770,2026-05-26 21:18:00,Noida,NOI-DS-01,Household Essentials,198.18,15,23.0,DP217,5.0
ORD101481,2026-05-06 15:09:00,Bengaluru,BLR-DS-01,Beverages,502.39,15,16.7,DP249,5.0
ORD102315,2026-06-01 23:10:00,Noida,NOI-DS-02,Snacks,652.06,10,13.5,DP103,5.0
ORD102052,2026-05-30 23:11:00,Pune,PUN-DS-01,Dairy & Breakfast,57.32,15,12.6,DP163,5.0
ORD103598,2026-05-19 15:01:00,Mumbai,MUM-DS-01,Fruits & Vegetables,442.05,20,21.5,DP193,5.0
ORD100169,2026-06-12 15:01:00,Delhi,DEL-DS-03,Snacks,307.14,15,24.1,DP179,4.0
ORD100672,2026-05-11 08:47:00,Bengaluru,BLR-DS-02,Baby Care,113.94,20,12.6,DP131,5.0
ORD104551,2026-05-05 22:00:00,Hyderabad,HYD-DS-02,Baby Care,232.39,10,13.7,DP179,4.0
ORD101649,2026-05-27 10:03:00,Noida,NOI-DS-01,Frozen Food,313.77,10,4.0,DP180,1.0
ORD104663,2026-06-08 10:15:00,Mumbai,MUM-DS-01,Bakery,409.76,20,27.0,DP197,5.0
ORD101050,2026-05-26 12:27:00,Pune,PUN-DS-01,Fruits & Vegetables,422.43,15,19.2,DP109,5.0
ORD102409,2026-05-02 13:44:00,Hyderabad,HYD-DS-01,Household Essentials,96.71,15,23.0,DP197,5.0
ORD104808,2026-06-06 17:27:00,Gurugram,GGN-DS-01,Meat & Seafood,195.62,15,12.1,DP178,5.0
ORD103112,2026-05-13 12:08:00,Mumbai,MUM-DS-02,Snacks,237.54,15,24.1,DP218,5.0
ORD104285,2026-05-04 11:56:00,Hyderabad,HYD-DS-01,Snacks,330.05,20,16.8,DP159,5.0
